"utc","uptimeSeconds","rendererPrivateMiB","mainPrivateMiB","payloadMiB","totalPrivateMiB"
"23.09.2026 11:32:59","119","414,7","489,9","171,4","1229,3"
"23.09.2026 11:33:14","134","417,2","507","195,3","1255,5"
"23.09.2026 11:33:29","149","491,2","516,5","222,7","1332,9"
"23.09.2026 11:33:44","164","619,9","554,9","246,6","1506,1"
"23.09.2026 11:33:59","179","527,5","567,4","273,2","1426,1"
"23.09.2026 11:34:14","194","570,8","611,7","296,2","1514,3"
"23.09.2026 11:34:29","209","589,6","584,3","323,4","1526,3"
"23.09.2026 11:34:44","224","676,3","621,6","346,6","1622,9"
"23.09.2026 11:34:59","239","499,5","655,5","372","1482,2"
"23.09.2026 11:35:14","254","666,1","650,5","394,5","1644,3"
"23.09.2026 11:35:29","269","685,4","713,7","421,2","1734,1"
"23.09.2026 11:35:44","284","616,9","722,4","443,3","1667,4"
"23.09.2026 11:35:59","299","677,7","739","469,2","1744,7"
"23.09.2026 11:36:14","314","736,2","792,1","491,8","1856,6"
"23.09.2026 11:36:29","329","755,7","833,1","508,4","1917,4"
"23.09.2026 11:36:44","344","777,5","748,5","508,6","1854,6"
"23.09.2026 11:36:59","359","925,8","852,2","510,7","2113,4"
"23.09.2026 11:37:14","374","426,7","862,7","511,6","1624,8"
"23.09.2026 11:37:29","389","488,4","887,4","511,2","1704,5"
"23.09.2026 11:37:39","399,1","171,3","731,8","509,1","1238,6"
"23.09.2026 11:37:44","404","250,5","771,5","509,3","1357,4"
"23.09.2026 11:37:59","419","290,4","773,4","511","1392,2"
"23.09.2026 11:38:14","434","335,8","840,7","509,4","1504,8"
"23.09.2026 11:38:29","449","312,3","798,7","511,6","1439,7"
"23.09.2026 11:38:44","464","341,2","817,3","509,4","1487,7"
"23.09.2026 11:38:59","479","324,5","826,5","511,1","1479,9"
"23.09.2026 11:39:14","494","348,2","826,2","510,9","1503,4"
"23.09.2026 11:39:29","509","332,9","845,6","509","1507,9"
"23.09.2026 11:39:44","524","290,7","862,9","510","1483,1"
"23.09.2026 11:39:59","539","342","831","509,3","1502,4"
"23.09.2026 11:40:14","554","267,5","771,7","510,4","1368,6"
"23.09.2026 11:40:29","569","389,9","855,8","511,2","1575,2"
"23.09.2026 11:40:44","584","262,4","838,9","511","1430,8"
"23.09.2026 11:42:18","677,8","323,9","840,5","510,5","1521,2"
"23.09.2026 11:51:19","1218,9","355","828,8","511,8","1512,5"
